Type,Created,Week,Month,Year,Site,Finding,Repeat Finding,Hangar / Shop,TEAM,Main Applicable Rule (Finding Code),Applicable Rules 2,Main Root Cause,Additional Root Causes 2,Cluster,Risk,Quality escape,Loading,Cert/total
QCAR,44134.44122,44,10,2020,Savannah,"In zone 12 of Hangar C, an unlocked cage titled ""Interiors Cage Rinkema"":
1. An outdated shelf life audit form (SavSC XXX) was attached to the cage. All entries on this form were in the year 2020 so the current shelf life form, RSQC 222 dated 12/2019, should have been used.
2. The last shelf life audit performed was on May 20, 2020 and there were just a few shelf life items within the cage.
3. A Daily Tool Audit Form (RSQC 155) was also attached to the cage, this is not a tool cage based on the contents.
4. The interior of the cage was cluttered with consumable materials, technical data, shop aids and only a few shelf life items.",FALSE,SAV-C,team 1,11.4 - Parts/Material Management & Control,,Complacency – Overconfidence from repeated experience on a specific activity.,,PARTS/MATERIAL MANAGEMENT & CONTROL,3.104565303,No,1.616983963,0.474038788
QCAR,44134.45591,44,10,2020,Savannah,"In zone 12 of hangar C, a printed copy of technical data, GVI-GER-0119, was found by the auditor and not marked as an uncontrolled document and did not have the printed date written on it.
Note: The technician verified that the document was current in Pdocm.",FALSE,SAV-C,team 1,13 - Current Technical Data,,"Lack of Awareness – Failure to see a condition, understand what it is, and predict the possible results.",,TECHNICAL DATA ,2.726081209,No,1.616983963,0.474038788
QCAR,44503.3089,45,11,2021,Savannah,"​A/C 6006 R/H Galley Sink Leaking. ***See attached investigation report for details.***
Investigation Takeaways
1. It was found that the intial work order where the sink was removed to FOM did not have a Squawk/Step entered into the work order to indicate that the sink should have been tested for leaks due to the removal.
2. The removal was recorded on the R&I however, there was no ""Follow-on"" added.
  ",FALSE,SAV-C,qlty team,9.1 - Work Order Process,9.2 - Standard Documentation,Complacency – Overconfidence from repeated experience on a specific activity.,"Lack of Awareness – Failure to see a condition, understand what it is, and predict the possible results.",RECORD OF MAINTENANCE,2.888231878,No,1.427862429,0.5
QCAR,44550.64009,52,12,2021,Savannah,"Investigation of A/C 73013 Workorder no. SC675118.
ASC 002 log book page status block (and signed by inspector GA674 dated 07/13/2020) was shown superseded by ASC002A, therefore ASC002A status block was shown P/C/W and signed by inspector GA629 dated 11/08/2021. ASC002 was not incorporated / installed / complied with to the aircraft.
ASC 004 log book page status block (and signed by inspector GA674 dated 07/13/2020) was shown superseded by ASC004A, therefore ASC004A status block was shown P/C/W and signed by inspector GA629 dated 09/21/2021. ASC004was not incorporated / installed / complied with to the aircraft.
Under Workorder no. SC675118, the aircraftwas not visually verified as having ASC002 or ASC004 installed.
ASC002A and 004A is signed off as ""P/C/W"" but was not accomplished and was not verified as installed.",FALSE,SAV-C,qlty team,9.2 - Standard Documentation,,"Norms – Standard practices, usually undocumented, adopted by an organization or group.",Complacency – Overconfidence from repeated experience on a specific activity.,RECORD OF MAINTENANCE,2.888231878,No,1.20963355,0.49
1PY,44791.462,34,8,2022,Savannah,"Asked for final for CB 24 sealant removal, found rear most bonding strap loose and forward most ground strap still having sealant on it.",N/A,SAV-C,team 2,G4 Incomplete Work,,,,INSPECTION & QUALITY SYSTEM,0.089445883,No,0.97791629,0.346801347
1PY,44789.91074,34,8,2022,Savannah,"Open/Close Index 7A not filled out properly, missing header, index and work order number on Page 12

",N/A,SAV-C,team 2,A7 Open / Close Card not filled out correctly,,,,RECORD OF MAINTENANCE,0.057764638,No,0.97791629,0.346801347
1PY,44789.91225,34,8,2022,Savannah,"73035, SC 719532 Open/Close Index 4A not filled out properly, missing header, index and work order number on Page 16",N/A,SAV-C,team 2,A7 Open / Close Card not filled out correctly,,,,RECORD OF MAINTENANCE,0.057764638,No,0.97791629,0.346801347
1PY,44790.62134,34,8,2022,Savannah,"During pylon board inspection for closing upper pylon boards post maintenance for CB 24 it was noted a difference, the L/H side ground and bond straps had all sealant removed on attach points on fixed cowl the R/H side still contained sealant under and around the same connections. CB 24 Section III paragraph D calls for the removal of all traces of sealant.",N/A,SAV-C,team 2,G4 Incomplete Work,,,,INSPECTION & QUALITY SYSTEM,0.089445883,No,0.97791629,0.346801347
1PY,44789.91365,34,8,2022,Savannah,"73035, 719532 Open/Close Index 7A not filled out properly, missing index and work order number on Page 11",N/A,SAV-C,team 2,A7 Open / Close Card not filled out correctly,,,,RECORD OF MAINTENANCE,0.057764638,No,0.97791629,0.346801347
1PY,44789.90961,34,8,2022,Savannah,"Open/Close Index 12A not filled out properly, missing header, index and work order number on Page 16",N/A,SAV-C,team 2,A7 Open / Close Card not filled out correctly,,,,RECORD OF MAINTENANCE,0.057764638,No,0.97791629,0.346801347
1PY,44789.90866,34,8,2022,Savannah,"Open/Close Index 12A not filled out properly, missing header, index and work order number on Page 16",N/A,SAV-C,team 2,A7 Open / Close Card not filled out correctly,,,,RECORD OF MAINTENANCE,0.057764638,No,0.97791629,0.346801347
1PY,44789.90529,34,8,2022,Savannah,"Open/Close Index 12A not filled out properly, missing header, index and work order number on Page 11, 12",N/A,SAV-C,team 2,A7 Open / Close Card not filled out correctly,,,,RECORD OF MAINTENANCE,0.057764638,No,0.97791629,0.346801347
1PY,44789.90736,34,8,2022,Savannah,"Open/Close Index 12A not filled out properly, missing header, index and work order number on Page 12",N/A,SAV-C,team 2,A7 Open / Close Card not filled out correctly,,,,RECORD OF MAINTENANCE,0.057764638,No,0.97791629,0.346801347
1PY,44790.46241,34,8,2022,Savannah,Performed software update with no involvment or communication with QC.,N/A,SAV-C,team 2,F3 Performed Task without QC Witness,,,,INSPECTION & QUALITY SYSTEM,0.089445883,No,0.97791629,0.346801347
